slug,date,who,attendee_class,city,state,window_from,window_to,window_days,tails,testable,control_verdict,aircraft_days_needed,HELD,ASKED_AND_EMPTY,NEVER_ASKED,coverage_pct,queried_pct,following_needed,following_HELD,following_ASKED_AND_EMPTY,following_NEVER_ASKED,following_coverage_pct,yaml_agrees
20220104_phoenix,2022-01-04,Charlie,CHARLIE_ONLY,Phoenix,AZ,2022-01-02,2022-01-06,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,0,60,15,0.0,80.0,30,0,30,0,0.0,YES
20220216_st_charles,2022-02-16,Charlie,CHARLIE_ONLY,St. Charles,IL,2022-02-14,2022-02-18,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,0,60,15,0.0,80.0,30,0,30,0,0.0,YES
20220329_colorado_springs,2022-03-29,Charlie,CHARLIE_ONLY,Colorado Springs,CO,2022-03-27,2022-03-31,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,0,60,15,0.0,80.0,30,0,30,0,0.0,YES
20220330_fayetteville,2022-03-30,Charlie,CHARLIE_ONLY,Fayetteville,AR,2022-03-28,2022-04-01,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,4,56,15,5.3,80.0,30,0,30,0,0.0,YES
20220331_auburn,2022-03-31,Charlie,CHARLIE_ONLY,Auburn,AL,2022-03-29,2022-04-02,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,4,56,15,5.3,80.0,30,0,30,0,0.0,YES
20220403_st_louis,2022-04-03,Charlie,CHARLIE_ONLY,St. Louis,MO,2022-04-01,2022-04-05,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,4,56,15,5.3,80.0,30,0,30,0,0.0,YES
20220412_boulder,2022-04-12,Charlie,CHARLIE_ONLY,Boulder,CO,2022-04-10,2022-04-14,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,0,60,15,0.0,80.0,30,0,30,0,0.0,YES
20220413_berkeley,2022-04-13,Charlie,CHARLIE_ONLY,Berkeley,CA,2022-04-11,2022-04-15,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,0,60,15,0.0,80.0,30,0,30,0,0.0,YES
20220414_fullerton,2022-04-14,Charlie,CHARLIE_ONLY,Fullerton,CA,2022-04-12,2022-04-16,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,0,60,15,0.0,80.0,30,0,30,0,0.0,YES
20220420_milwaukee,2022-04-20,Charlie,CHARLIE_ONLY,Milwaukee,WI,2022-04-18,2022-04-22,5,15,NO_ARCHIVE_RETENTION_BOUNDARY,ARCHIVE RETENTION BOUNDARY,75,0,60,15,0.0,80.0,30,0,30,0,0.0,YES
